,avg_runs,candies,is_possible,map_layout,num_paths,std_runs,successes,walls
337,1254.65,"(array([ 1,  3,  4,  5,  6,  9, 11, 13, 14, 16, 17, 19, 21, 22, 23],
      dtype=int64),)",True,0313333113131331331313330,4,284.6176865551401,20.0,"(array([ 2,  7,  8, 10, 12, 15, 18, 20], dtype=int64),)"
338,2480.0,"(array([ 1,  2,  3,  4,  5,  7,  9, 11, 13, 15, 17, 19, 20, 21, 22],
      dtype=int64),)",False,0333331313131313131333310,0,0.0,0.0,"(array([ 6,  8, 10, 12, 14, 16, 18, 23], dtype=int64),)"
339,1374.5,"(array([ 3,  4,  5,  6,  9, 11, 12, 13, 15, 16, 17, 18, 19, 20, 21],
      dtype=int64),)",True,0113333113133313333333110,3,490.2422360425507,17.0,"(array([ 1,  2,  7,  8, 10, 14, 22, 23], dtype=int64),)"
340,2480.0,"(array([ 3,  4,  6,  7,  8,  9, 11, 12, 15, 16, 17, 19, 20, 21, 23],
      dtype=int64),)",False,0113313333133113331333130,0,0.0,0.0,"(array([ 1,  2,  5, 10, 13, 14, 18, 22], dtype=int64),)"
341,2480.0,"(array([ 3,  4,  6,  7,  9, 12, 13, 14, 16, 17, 18, 20, 21, 22, 23],
      dtype=int64),)",False,0113313313113331333133330,0,0.0,0.0,"(array([ 1,  2,  5,  8, 10, 11, 15, 19], dtype=int64),)"
342,1633.75,"(array([ 1,  2,  4,  7,  8,  9, 10, 12, 14, 16, 19, 20, 21, 22, 23],
      dtype=int64),)",True,0331311333313131311333330,1,618.1064532101246,13.0,"(array([ 3,  5,  6, 11, 13, 15, 17, 18], dtype=int64),)"
343,2480.0,"(array([ 1,  2,  3,  4,  5,  6,  7,  8, 10, 11, 13, 14, 15, 21, 22],
      dtype=int64),)",False,0333333331331333111113310,0,0.0,0.0,"(array([ 9, 12, 16, 17, 18, 19, 20, 23], dtype=int64),)"
344,2007.9,"(array([ 1,  4,  5,  6,  7,  8,  9, 10, 11, 14, 15, 18, 19, 21, 23],
      dtype=int64),)",True,0311333333331133113313130,2,551.5590539552406,9.0,"(array([ 2,  3, 12, 13, 16, 17, 20, 22], dtype=int64),)"
345,2480.0,"(array([ 2,  3,  4,  5,  7, 10, 11, 14, 15, 16, 17, 19, 20, 21, 22],
      dtype=int64),)",False,0133331311331133331333310,0,0.0,0.0,"(array([ 1,  6,  8,  9, 12, 13, 18, 23], dtype=int64),)"
346,2480.0,"(array([ 1,  2,  3,  5,  6,  9, 10, 13, 14, 15, 16, 18, 20, 21, 22],
      dtype=int64),)",False,0333133113311333313133310,0,0.0,0.0,"(array([ 4,  7,  8, 11, 12, 17, 19, 23], dtype=int64),)"
347,1974.0,"(array([ 2,  3,  5,  6,  7,  9, 11, 13, 15, 16, 17, 18, 20, 21, 23],
      dtype=int64),)",True,0133133313131313333133130,1,571.7083172387822,9.0,"(array([ 1,  4,  8, 10, 12, 14, 19, 22], dtype=int64),)"
348,2480.0,"(array([ 1,  4,  5,  8,  9, 11, 13, 14, 16, 17, 18, 20, 21, 22, 23],
      dtype=int64),)",False,0311331133131331333133330,0,0.0,0.0,"(array([ 2,  3,  6,  7, 10, 12, 15, 19], dtype=int64),)"
349,1779.65,"(array([ 1,  2,  3,  4,  5,  9, 11, 12, 13, 14, 18, 19, 20, 21, 23],
      dtype=int64),)",True,0333331113133331113333130,1,623.0314819493474,11.0,"(array([ 6,  7,  8, 10, 15, 16, 17, 22], dtype=int64),)"
350,1932.85,"(array([ 1,  3,  6,  8,  9, 11, 12, 13, 14, 16, 17, 19, 20, 21, 22],
      dtype=int64),)",True,0313113133133331331333310,1,590.9684657407703,9.0,"(array([ 2,  4,  5,  7, 10, 15, 18, 23], dtype=int64),)"
351,1515.3,"(array([ 1,  3,  6,  7,  8, 10, 11, 12, 13, 15, 16, 17, 18, 22, 23],
      dtype=int64),)",True,0313113331333313333111330,8,636.3050447701951,14.0,"(array([ 2,  4,  5,  9, 14, 19, 20, 21], dtype=int64),)"
352,1599.8,"(array([ 4,  5,  7,  8,  9, 10, 11, 12, 13, 15, 16, 17, 18, 19, 20],
      dtype=int64),)",True,0111331333333313333331110,4,570.5415497577718,15.0,"(array([ 1,  2,  3,  6, 14, 21, 22, 23], dtype=int64),)"
353,2480.0,"(array([ 2,  3,  4,  6,  8,  9, 10, 11, 15, 16, 17, 18, 21, 22, 23],
      dtype=int64),)",False,0133313133331113333113330,0,0.0,0.0,"(array([ 1,  5,  7, 12, 13, 14, 19, 20], dtype=int64),)"
354,2480.0,"(array([ 2,  6,  7,  8, 10, 12, 14, 15, 16, 17, 18, 20, 21, 22, 23],
      dtype=int64),)",False,0131113331313133333133330,0,0.0,0.0,"(array([ 1,  3,  4,  5,  9, 11, 13, 19], dtype=int64),)"
355,2002.5,"(array([ 1,  2,  3,  7,  8,  9, 10, 11, 12, 15, 16, 17, 20, 22, 23],
      dtype=int64),)",True,0333111333333113331131330,1,464.4942949057609,11.0,"(array([ 4,  5,  6, 13, 14, 18, 19, 21], dtype=int64),)"
356,2480.0,"(array([ 6,  7,  9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 23],
      dtype=int64),)",False,0111113313333331333333130,0,0.0,0.0,"(array([ 1,  2,  3,  4,  5,  8, 15, 22], dtype=int64),)"
357,2113.25,"(array([ 1,  2,  5,  8, 10, 11, 13, 14, 15, 16, 17, 18, 19, 21, 22],
      dtype=int64),)",True,0331131131331333333313310,2,533.7477751710071,6.0,"(array([ 3,  4,  6,  7,  9, 12, 20, 23], dtype=int64),)"
358,2480.0,"(array([ 2,  3,  6,  8,  9, 10, 12, 13, 15, 16, 17, 18, 20, 22, 23],
      dtype=int64),)",False,0133113133313313333131330,0,0.0,0.0,"(array([ 1,  4,  5,  7, 11, 14, 19, 21], dtype=int64),)"
359,2480.0,"(array([ 2,  3,  4,  5,  6,  8,  9, 10, 11, 13, 15, 16, 17, 20, 23],
      dtype=int64),)",False,0133333133331313331131130,0,0.0,0.0,"(array([ 1,  7, 12, 14, 18, 19, 21, 22], dtype=int64),)"
360,2334.7,"(array([ 1,  3,  5,  6,  8, 10, 13, 14, 15, 16, 17, 18, 19, 21, 23],
      dtype=int64),)",True,0313133131311333333313130,1,363.5497352495253,2.0,"(array([ 2,  4,  7,  9, 11, 12, 20, 22], dtype=int64),)"
